,bullfrog,bullfrog_vals,bullfrog_grad_cosine,albatross,albatross_vals,albatross_grad_cosine,orangutan,orangutan_vals,orangutan_grad_cosine,goose,goose_vals,goose_grad_cosine,vizsla,vizsla_vals,vizsla_grad_cosine,ice cream,ice cream_vals,ice cream_grad_cosine,rule,rule_vals,rule_grad_cosine,capuchin,capuchin_vals,capuchin_grad_cosine,cicada,cicada_vals,cicada_grad_cosine,bucket,bucket_vals,bucket_grad_cosine,cellular telephone,cellular telephone_vals,cellular telephone_grad_cosine,spoonbill,spoonbill_vals,spoonbill_grad_cosine,lawn mower,lawn mower_vals,lawn mower_grad_cosine,drum,drum_vals,drum_grad_cosine,coho,coho_vals,coho_grad_cosine,punching bag,punching bag_vals,punching bag_grad_cosine
10,pond,0.18219656,0.12651105,ducks,0.22522938,0.14002742,conkers,0.24222353,0.16291142,other flamingos,0.25207555,0.16494915,caramel,0.16159186,0.114717945,desert,0.3239471,0.2078174,pencil,0.29877558,0.21411228,lemur,0.2561267,0.1806132,dragonfly egg,0.28639737,0.17902672,fishing basket,0.34507975,0.22708957,portable,0.35381043,0.22326735,crane,0.21607172,0.13813713,three-wheeler,0.3117142,0.2017425,keg,0.36618936,0.2356222,fishing,0.2991652,0.18937336,lobster buoy,0.37943232,0.22283313
11,reptile,0.18002072,0.12500024,duck,0.22501552,0.13989446,heronry,0.24086986,0.16200101,migratory bird,0.2520501,0.16493249,wagging,0.16084468,0.11418751,candy dish,0.32347718,0.20751595,measurement markings,0.29336753,0.2102367,ape,0.23684645,0.16701734,coleopteran,0.282318,0.17647672,fishing cooler,0.3434306,0.22600433,headphone,0.35211903,0.2222,migratory bird,0.21503499,0.13747436,garden tool,0.29838353,0.19311485,mallets,0.36381802,0.23409636,shark,0.2963376,0.18758349,scuba tank,0.37518606,0.22033936
12,iguana,0.17637986,0.12247215,migratory bird,0.21502133,0.13368097,monotreme,0.24022916,0.16157009,wading bird,0.24770749,0.16209084,working dog,0.15860751,0.1125993,hydrocolloid,0.32314992,0.207306,hour markers,0.2872432,0.2058478,hornbill,0.19489832,0.1374367,hemipteran,0.2783435,0.17399225,lobster pot,0.3393327,0.2233076,gps device,0.34552824,0.21804097,swan,0.21265364,0.13595194,driveway,0.29191017,0.18892525,drumstick,0.36050045,0.23196168,fishing vest,0.29361326,0.18585894,fire extinguisher,0.3646714,0.21416432
13,tide pool,0.17464246,0.12126575,nesting area,0.20762004,0.12907949,conker,0.22178528,0.14916536,vultures,0.23880817,0.15626743,mastiff,0.15795842,0.112138465,coffee scoop,0.3213728,0.20616594,rolling papers,0.28406087,0.20356725,rainforest,0.18643413,0.13146801,chrysalis,0.27386224,0.17119104,trashbin,0.33227062,0.21866015,screen protector,0.34121025,0.21531618,seagulls,0.20617309,0.13180885,meter maid,0.28915155,0.18713987,frying pan,0.357932,0.23030907,fishing license.,0.28503603,0.18042952,paddle bag,0.35000658,0.20555197
14,lizard,0.17009291,0.11810671,hornbill,0.20296258,0.12618393,koala sanctuary,0.21345183,0.14356056,wetland,0.22808819,0.14925267,carp,0.15502027,0.110052615,pastry,0.31898516,0.20463422,fingerboard,0.28180486,0.20195052,heronry,0.18234523,0.12858462,arthropod,0.2608353,0.1630479,grain bin,0.31515154,0.20739448,calculator,0.3319607,0.20947936,featherless head,0.2043871,0.13066703,yard,0.28730756,0.18594643,mariachi band,0.34277126,0.22055396,smoked fish,0.2833646,0.17937149,punching mitt,0.33376798,0.19601536
15,earthstar shape,0.1694597,0.11766702,heron,0.19966857,0.12413601,canopy,0.21032254,0.1414559,wetlands,0.22014044,0.14405195,brown,0.15231818,0.10813436,chocolate,0.3165658,0.2030822,eraser,0.27356976,0.196049,zoo,0.1613755,0.11379739,pedipalps,0.25311524,0.1582221,barrel,0.31231764,0.20552953,remote,0.3287178,0.20743297,bird's leg,0.19256535,0.123109266,golf bag,0.2850089,0.18445873,plunger,0.3399706,0.21875186,fishing cooler,0.27768934,0.17577899,balloon basket,0.3323327,0.19517243
16,turtle,0.1693807,0.11761215,long beak,0.19275141,0.11983554,wicket,0.2085321,0.1402517,bird bath,0.21836042,0.14288718,reddish-brown,0.15228066,0.108107716,shaving cream,0.31323722,0.20094685,glue stick,0.27158764,0.1946285,squirrel nest,0.1554195,0.109597385,wasps,0.2500774,0.15632315,shower caddy,0.31174287,0.20515129,earbuds,0.3264565,0.20600599,seagull,0.18107936,0.115766115,groomer,0.28342372,0.1834328,cookware,0.33859408,0.21786617,fishing map,0.2670371,0.16903606,garage,0.33232355,0.19516705
17,wetland,0.1651859,0.11469943,wetland,0.19035256,0.11834414,bale,0.20351996,0.1368807,heron,0.20864798,0.13653171,paprika,0.14488225,0.1028554,edible,0.31040674,0.19913104,chopsticks,0.27149656,0.19456327,vultures,0.15152799,0.106853195,pollen sac,0.2498309,0.15616906,balloon basket,0.30662686,0.20178455,usb cable,0.3240114,0.20446305,bird,0.1806258,0.11547617,sanitation worker,0.2773375,0.17949377,musician,0.33677304,0.21669441,pectoral fins,0.2667448,0.16885105,gym,0.32835317,0.19283533
18,algae,0.1630274,0.11320065,featherless head,0.1876966,0.1166929,zoo,0.20077175,0.13503236,cranes,0.20263,0.13259375,short legs,0.14426948,0.10242039,candy bowls,0.30917108,0.19833833,pen holder,0.2691579,0.19288728,canopy,0.1456603,0.10271546,insect,0.24825978,0.15518695,beach bag,0.29679197,0.19531244,telephone,0.3132884,0.19769645,hornbill,0.17922807,0.114582576,power tool,0.27465403,0.17775702,sound equipment,0.33644912,0.21648602,fishing glove,0.26008224,0.1646336,beach ball,0.3282894,0.19279787
19,wetlands,0.1563882,0.1085906,cetacean,0.18181644,0.11303716,dinosaur museum,0.19960469,0.13424744,bird,0.19884041,0.13011399,amber,0.14369613,0.10201335,creamy,0.30805904,0.19762495,hygrometer,0.26323724,0.18864436,parallel bars,0.14443167,0.10184908,larva,0.24762073,0.15478748,sugar container,0.2955768,0.19451274,dog tag,0.31157362,0.19661437,pink,0.17608318,0.112572014,forklift operator,0.27423078,0.17748308,cooking pot,0.33136934,0.21321745,elasmobranch,0.25463617,0.16118622,ballast tanks,0.32135278,0.18872416
20,dragonfly nymph,0.15493904,0.10758436,wetlands,0.18148744,0.1128326,squirrel,0.19884162,0.13373423,bird part,0.19800048,0.12956436,wild turkey,0.14315169,0.10162683,drumstick,0.30504537,0.19569163,math book,0.26246217,0.1880889,jungle,0.14206433,0.1001797,chelicerae,0.24615453,0.15387097,crab pot,0.2935821,0.19320008,hand sanitizer,0.3109635,0.19622938,gibbon,0.16673104,0.10659307,snowmobile trailer,0.27031422,0.17494829,hatband,0.32161376,0.20694032,fishing gps,0.24632421,0.15592468,gas tank,0.32004017,0.18795326
21,green leaves,0.15139364,0.105122566,foghorn,0.18106765,0.11257163,center knurl,0.19836113,0.13341106,webbed feet,0.19344766,0.12658517,pointer,0.14244196,0.10112298,confectionery,0.29981595,0.19233687,weather chart,0.26181483,0.18762502,conkers,0.13933533,0.098255284,aphids,0.24357723,0.15225989,pot,0.2934313,0.19310085,thermostat,0.31064585,0.19602892,vultures,0.15960024,0.102034286,plow,0.26976532,0.17459303,wooden bowl,0.31984478,0.20580208,tide pool,0.24579592,0.15559028,taillight,0.31824666,0.18689999
22,crocodile,0.14616029,0.10148871,penguin,0.17649412,0.1097282,rope,0.1973788,0.13275038,flock,0.19291176,0.1262345,cumin,0.1423475,0.10105592,savory dish,0.29951409,0.19214322,skis,0.25928113,0.18580928,chipmunk,0.13669792,0.09639545,beetle,0.23324892,0.14580368,bin,0.2889792,0.190171,headphones,0.3089692,0.19497088,bird part,0.15714705,0.10046592,watering can,0.26910847,0.17416793,round bread,0.31701094,0.20397866,fishing cabin,0.24260378,0.15356964,ceiling fan,0.31771693,0.18658888
23,salamander,0.14593351,0.10133124,yellow bill,0.17637798,0.109656,mane,0.19271266,0.12961209,avian,0.18391281,0.120345905,brownish,0.14085954,0.09999959,pie dish,0.29912823,0.1918957,label holder,0.25714353,0.1842774,monotreme,0.13280423,0.09364975,wasp,0.22841963,0.1427849,manhole,0.28683156,0.18875769,camera,0.30810016,0.19442251,birding guidebook,0.15496139,0.099068604,sled,0.2638961,0.17079449,baseball bat,0.31585914,0.20323753,cetacean,0.24187906,0.15311089,drawstring,0.31559718,0.18534401
24,bird bath,0.14072898,0.097717375,bird,0.17270502,0.10737248,wooden support,0.18925,0.12728322,dog park,0.17767043,0.11626111,canine,0.13728407,0.09746127,food,0.29606414,0.18993002,spider hygrometer,0.25211942,0.180677,mangrove tree,0.13148762,0.0927213,chelonian,0.19482155,0.121782765,dutch oven,0.2862607,0.188382,instant camera,0.30716693,0.1938336,long beak,0.14680512,0.093854204,one-wheeler,0.26373735,0.1706917,ladle,0.31544608,0.20297176,fishing rod,0.24025576,0.15208334,baseball bat,0.31385043,0.18431816
25,alligator,0.13558464,0.09414534,avian,0.169277,0.10524125,droopy,0.18474166,0.12425107,wild turkey,0.17745514,0.116120234,suit,0.13483232,0.09572072,chocolatey,0.29574487,0.18972522,spider thermometer,0.24962167,0.178887,bear,0.13064381,0.09212627,caterpillar,0.19288787,0.12057404,gas can,0.28247777,0.18589255,display device,0.30616987,0.19320442,mudflats,0.13957751,0.0892335,golf,0.26173618,0.16939656,trashbarrel,0.3153106,0.20288458,dolphins,0.23819703,0.15078014,heat shield,0.31354153,0.18413678
26,moss,0.13451406,0.09340197,arctic hare,0.16530041,0.10276896,pulley,0.18440166,0.12402238,garlic,0.17744306,0.11611234,hunting field,0.1327748,0.09426004,chocolate chips,0.29549557,0.18956529,crab gauge,0.24830888,0.17794621,squirrel,0.12436788,0.087700665,cocoon,0.18569174,0.11607574,worm bin,0.28185263,0.18548116,phone booth,0.30556065,0.19281997,webbed feet,0.13763025,0.0879886,plow blade,0.25829864,0.16717178,croquet hoop,0.31374472,0.20187703,boat ramp,0.23694268,0.14998613,dry bag,0.3133335,0.18401457
27,turtle nest,0.1332192,0.092502855,bird part,0.16107592,0.10014255,enclosure,0.1820685,0.122453175,beak,0.16967359,0.111028284,muscular build,0.13170654,0.09350164,groom's cake,0.29501557,0.18925735,cutting tool,0.24788865,0.17764506,horse chestnut,0.11926034,0.08409898,eucalyptus leaf,0.17487082,0.109311566,lobster cooker,0.27782595,0.18283129,earpieces,0.30507594,0.19251412,pomegranate tree,0.13560638,0.086694725,ski lift,0.25793907,0.16693904,barbell,0.31309366,0.20145811,fishing kayak,0.23675936,0.1498701,pinata,0.3094181,0.18171516
28,carp,0.13010722,0.090342015,brachiosaurus,0.15951465,0.09917189,overhang,0.18173899,0.12223156,rookery,0.16308615,0.106717676,bovid,0.12951149,0.09194334,custard,0.29471332,0.18906346,label maker,0.24686602,0.1769122,bamboo,0.119169004,0.08403457,bug,0.17097107,0.10687385,bathtub,0.27379683,0.1801798,keychain,0.30145308,0.19022793,dragonfly skimmer,0.13237076,0.084626146,grass,0.24938215,0.16140099,parasol,0.31139553,0.20036542,white coat,0.23558109,0.14912423,lineout,0.30615735,0.17980017
29,guacamole,0.12953687,0.08994597,white fur,0.1559861,0.096978165,lemur colony,0.18098177,0.12172228,stork,0.16218457,0.10612773,flash,0.12848231,0.09121269,sugar container,0.29040313,0.1862984,mailbox key,0.24675387,0.17683184,branches,0.1172873,0.08270764,dragonfly darning,0.16566473,0.103556864,drum,0.2683344,0.17658511,metal casing,0.30132526,0.19014728,mangrove tree,0.13128132,0.083929665,shovel,0.2460976,0.1592752,rolling pin,0.30973107,0.19929448,fishing reel,0.23307842,0.14754003,gymnastics apparatus,0.30592906,0.1796661
30,purple-tinged buds,0.12805176,0.08891475,storm glass,0.1522673,0.094666146,elephant,0.1802935,0.12125936,park,0.16049132,0.10501973,pepperoni,0.12759879,0.09058546,snack,0.28383642,0.18208574,caliper,0.24596255,0.17626473,hammock,0.11664729,0.08225633,lepidoptera,0.16079643,0.100513704,candy bowls,0.26526514,0.17456529,phone stand,0.30114686,0.1900347,parrot,0.13061824,0.08350576,garden,0.24207813,0.15667379,ping-pong racket,0.30843088,0.19845787,carp,0.22933713,0.14517178,lamp,0.3058348,0.17961074
31,gecko,0.12580314,0.087353386,yellow beak,0.15037146,0.093487486,gondola,0.1798804,0.12098153,dolphins,0.15846328,0.10369265,canid,0.12713821,0.09025848,crema,0.27745134,0.17798959,test tube,0.24595138,0.17625675,lions,0.11397934,0.08037497,dragonfly darter,0.15972018,0.099840924,canister,0.2619126,0.17235906,usb port,0.29919183,0.18880102,talons,0.12665403,0.08097138,tow hitch,0.24109659,0.15603852,pot,0.3077935,0.19804774,nautical term,0.22729164,0.14387697,post box,0.30539936,0.179355
32,small mouth,0.12546737,0.08712026,shaving cream,0.14987469,0.09317863,clothesline,0.17896393,0.12036515,birdseed,0.1553419,0.10165013,edible root,0.12522781,0.08890225,cookies,0.2768889,0.17762879,matches,0.24198386,0.17341349,pulley,0.1122776,0.07917494,mouthparts,0.15738696,0.09838244,litter box,0.26127678,0.17194065,credit card,0.29896617,0.18865861,brachiosaurus,0.12380254,0.07914838,mail carrier,0.24001725,0.15533999,tea caddy,0.30714756,0.19763213,sea ice,0.22619942,0.14318559,safety cone,0.3033424,0.17814699
33,rainforest,0.12533751,0.087030075,coastal area,0.14752473,0.09171763,netting,0.17888992,0.120315365,hornbill,0.15102497,0.09882529,lions,0.124480605,0.088371776,swiss cuisine,0.27432954,0.17598693,pen,0.24154124,0.17309628,bonsai tree,0.110869616,0.07818208,bonsai tree,0.15734068,0.098353505,mug,0.259995,0.17109713,output device,0.2962374,0.18693665,swamp,0.121225744,0.077501014,gas pump,0.23966724,0.15511344,caribbean music,0.30561787,0.19664785,fishing compass,0.22540587,0.14268327,wind chime,0.30215225,0.17744806
34,slimy,0.124199755,0.086240076,dolphins,0.14728191,0.09156668,mahout,0.17796923,0.119696155,lake,0.15002,0.09816767,seat,0.12381449,0.08789889,latte art,0.27027044,0.17338294,notebook,0.2369993,0.1698414,barber pole,0.11001916,0.07758237,flytrap,0.15500857,0.09689571,beach hat,0.25805843,0.1698227,assistive device,0.2960956,0.18684718,arctic hare,0.11963867,0.07648637,two-wheeler,0.23926984,0.15485626,canister,0.3044463,0.19589403,fins,0.22484729,0.14232966,light fixture,0.30211914,0.1774286
35,rocky shore,0.12073961,0.08383746,bird's leg,0.14367189,0.089322284,ribs,0.17679599,0.11890706,black bill,0.14967765,0.09794364,deer,0.12343543,0.087629795,scoop,0.26943558,0.17284738,pipette,0.23570535,0.16891411,wicket,0.109663375,0.07733147,gastropod,0.15345794,0.09592642,utensil holder,0.25635743,0.16870332,label maker,0.29477966,0.18601675,fishing gps,0.11963497,0.076484025,compactor,0.23848675,0.15434945,frisbee,0.30202985,0.19433916,wetsuit,0.22458169,0.14216155,nose cone,0.30130047,0.17694783
36,dragonfly egg,0.11803071,0.08195649,ducklings,0.14210097,0.08834563,avocado,0.17641467,0.1186506,heronry,0.14957947,0.09787941,dog,0.12149857,0.08625475,iceberg,0.26871043,0.17238219,odometer,0.23196319,0.16623233,tropical plants,0.10953079,0.077237986,snail,0.15301909,0.09565209,steamer basket,0.25606734,0.16851242,mailbox key,0.2933318,0.18510312,seabird,0.11832896,0.07564908,snowmobile suit,0.23465632,0.15187038,resonator,0.30134273,0.19389705,large scales,0.22409742,0.14185502,reserve parachute,0.30005205,0.17621465
37,gallinule,0.117214896,0.081390016,gray fur,0.13957576,0.08677569,fishing net,0.17639972,0.11864055,penguin,0.14945598,0.0977986,spots,0.12120423,0.0860458,treat,0.2685495,0.17227891,decimal,0.23127398,0.16573845,dark fur,0.10677187,0.07529247,flies,0.15230614,0.09520643,drain pan,0.2546966,0.16761038,technology,0.29275033,0.18473618,rookery,0.117013425,0.07480804,wheelchair,0.23389837,0.15137982,beach parasol,0.30123293,0.1938264,wingtip,0.22182448,0.14041623,bag,0.29932618,0.17578837
38,ray-finned fish,0.11641699,0.080835976,feathered,0.13823378,0.08594136,vine,0.17622869,0.11852552,nesting area,0.1490304,0.09752011,broad back,0.119411886,0.08477338,hungarian dish,0.26814395,0.17201877,book accessory,0.23008457,0.16488609,marsupial,0.10511245,0.07412229,green leaves,0.15149772,0.09470108,keg,0.2544816,0.1674689,cigarette lighter,0.29116684,0.18373695,avian,0.116327,0.07436921,cart,0.23107754,0.14955416,gas can,0.29956168,0.19275105,reservoir,0.22086678,0.13981,backpack,0.29634714,0.17403883
39,chameleon,0.11440945,0.079441994,beak,0.13603029,0.08457142,parallel bars,0.17596105,0.11834551,mangrove tree,0.14820042,0.09697701,scriptorium,0.11728058,0.083260305,toppings,0.2676158,0.17167994,woodworking tool,0.22992715,0.16477326,predator,0.10254826,0.07231408,dragonfly feeder,0.15051314,0.09408564,strainer,0.25382343,0.16703576,stopwatch,0.28867763,0.18216616,yellow bill,0.11611675,0.07423478,tow yard,0.22983667,0.14875108,diaper pail,0.29815292,0.19184458,iceberg,0.21576512,0.13658062,golf bag,0.2929047,0.17201716
40,intertidal zone,0.11411402,0.079236865,rookery,0.13478407,0.083796635,greenery,0.17434406,0.117257975,corvid,0.14666662,0.09597333,pond,0.116866946,0.082966655,dough,0.26757476,0.17165363,hockey stick,0.2294746,0.16444895,angiosperm,0.10241611,0.07222091,queen bee,0.14734802,0.0921071,rainwater,0.25328934,0.16668427,padlock,0.28597242,0.18045908,red legs,0.11587617,0.07408097,control car,0.22800651,0.14756662,wind instrument,0.2964664,0.19075939,long sleeves,0.21573684,0.1365627,light bulb,0.2916522,0.17128158
41,avocado,0.11327864,0.07865682,earthstar shape,0.13414319,0.0833982,wooden bars,0.17400888,0.11703254,shorebird,0.14648098,0.09585187,shaggy,0.11680404,0.082922,titanium dioxide,0.264401,0.1696176,calligraphy set,0.22912621,0.1641993,bearing,0.10217403,0.0720502,egg case,0.14391804,0.08996302,candy jars,0.25213358,0.16592368,fishing gps,0.28478903,0.1797123,plumage,0.11384106,0.072779894,machinery,0.22757424,0.14728683,jar lid,0.2957592,0.19030437,marine mammal,0.21515998,0.13619755,standing stone,0.2875721,0.1688854
42,scaly,0.113035455,0.07848795,bird's nest,0.13392738,0.08326403,acorns,0.17356831,0.11673623,yellow beak,0.14635849,0.095771715,wheat field,0.11672288,0.08286439,lotion,0.26143143,0.16771257,stylus,0.2272976,0.16288885,lion,0.10151008,0.071582004,crab ring,0.1406058,0.08789256,container,0.25158074,0.16555989,cigarette,0.2826513,0.17836334,shorebird,0.11237435,0.07184222,rice paddy,0.2271614,0.14701962,lampshade,0.29473373,0.18964452,shark cage,0.2128825,0.1347559,shoulder straps,0.2865448,0.16828209
43,brake piston,0.111243114,0.07724342,indonesian islands,0.13045779,0.081106946,araneae,0.17087342,0.11492372,pond,0.14568406,0.095330395,trotters,0.115005225,0.08164498,tableware,0.2610057,0.16743946,candy sticks,0.22608615,0.16202067,rookery,0.10126353,0.071408145,froglet,0.1383627,0.08649039,crab cooker,0.2509592,0.16515085,combination lock,0.28201708,0.17796312,mudflat,0.1111127,0.07103562,nail gun,0.22621009,0.14640394,whiplash,0.29341418,0.18879545,polar researcher,0.21117267,0.13367355,punching surface,0.28503096,0.16739307
44,rice paddy,0.107450336,0.07460983,shorebird,0.12593439,0.078294694,chewy,0.1708647,0.11491788,llama farm,0.140735,0.0920919,dog bed,0.114663534,0.081402406,mexican cuisine,0.26090178,0.16737278,sundial plate,0.22580072,0.16181612,anvil,0.100069985,0.07056648,snails,0.13779187,0.08613357,ladle,0.24950033,0.16419081,viewfinder,0.2805772,0.1770545,fluffy chicks,0.1101507,0.07042062,child's stroller,0.2216907,0.14347899,woodwind,0.29327846,0.18870813,aquatic insect,0.21015598,0.13303,tall,0.28490222,0.16731745
45,rock pile,0.10721363,0.07444548,brontosaurus,0.12590796,0.07827827,iguana,0.16708808,0.112377845,black feet,0.13884322,0.09085399,swimming suit,0.11457655,0.081340656,utensil holder,0.25943002,0.16642863,capacity markings,0.22504818,0.16127683,branching,0.099454746,0.070132636,leaf,0.13629527,0.08519805,food bowl,0.24847496,0.16351604,wallet,0.28018236,0.17680535,lineout,0.10902318,0.06969978,meat slicer,0.22162819,0.14343852,chair,0.29310316,0.18859534,waterproof,0.20996967,0.13291205,glue stick,0.2845382,0.16710368
46,hot spring,0.10532655,0.07313515,rocky shore,0.12365766,0.07687923,panels,0.16674718,0.112148575,lakes,0.13858905,0.09068768,mahout,0.11446872,0.08126411,lollipops,0.2571993,0.16499761,work surface,0.2247672,0.16107547,branch,0.09922359,0.06996964,insect repellent,0.13600259,0.08501509,cup,0.24840257,0.16346839,game console,0.27945524,0.1763465,feathered,0.10730147,0.06859907,farmer,0.22129072,0.14322011,band,0.2922699,0.18805918,depth charges,0.20881513,0.13218123,gas can,0.2842424,0.16692995
47,cartilaginous fish,0.10521634,0.073058635,koala sanctuary,0.12176447,0.07570223,artichoke-like head,0.16546285,0.11128478,fluffy chicks,0.13691926,0.08959502,wader,0.11411896,0.081015795,marshmallows,0.25667858,0.16466352,weight indicator,0.22471556,0.16103846,binder clip,0.09920156,0.0699541,prayer bead,0.13263059,0.08290725,basket,0.24683554,0.16243717,touchpad,0.27860326,0.17580888,fishing,0.10678519,0.068269,dirt road,0.22112162,0.14311066,manhole,0.29009658,0.1866608,mudflats,0.2070016,0.13103324,luggage,0.28382403,0.16668427
