,bullfrog,bullfrog_vals,bullfrog_grad_cosine,albatross,albatross_vals,albatross_grad_cosine,orangutan,orangutan_vals,orangutan_grad_cosine,goose,goose_vals,goose_grad_cosine,vizsla,vizsla_vals,vizsla_grad_cosine,ice cream,ice cream_vals,ice cream_grad_cosine,rule,rule_vals,rule_grad_cosine,capuchin,capuchin_vals,capuchin_grad_cosine,cicada,cicada_vals,cicada_grad_cosine,bucket,bucket_vals,bucket_grad_cosine,cellular telephone,cellular telephone_vals,cellular telephone_grad_cosine,spoonbill,spoonbill_vals,spoonbill_grad_cosine,lawn mower,lawn mower_vals,lawn mower_grad_cosine,drum,drum_vals,drum_grad_cosine,coho,coho_vals,coho_grad_cosine,punching bag,punching bag_vals,punching bag_grad_cosine
39,tide pool,0.08355744,0.06925717,wader,0.09595288,0.085960194,mail,0.0989211,0.08373158,wings,0.11704396,0.104829326,weasel-like,0.09815457,0.08543458,cheese plate,0.1673354,0.12733287,book accessory,0.15516096,0.12611213,mercury,0.1002466,0.08595761,aphids,0.14053191,0.108309895,crab pot,0.19696361,0.13965404,burger,0.14604966,0.10470116,smoked fish,0.1409876,0.116201766,cooking pot,0.19089058,0.14264311,utensil holder,0.15981656,0.109788105,bassinet,0.13901797,0.10206013,lampshade,0.14602485,0.10214536
40,algae,0.08351061,0.06921834,hornbill,0.094717644,0.08485361,brown,0.09879233,0.0836226,winged,0.116576284,0.10441044,spots,0.097652696,0.08499774,dairy,0.16702121,0.12709378,matches,0.1546436,0.12569165,mammal,0.10005885,0.085796624,lobster,0.14028512,0.10811967,pickled,0.19661057,0.13940372,wallet,0.14455092,0.10362673,chicken,0.13941233,0.11490342,power tool,0.189958,0.14194621,dish,0.15969124,0.10970203,shark cage,0.13848627,0.10166978,outdoor space,0.14410979,0.10080576
41,aquatic insect,0.082023785,0.067985974,chicken,0.093982145,0.0841947,phone case,0.09852253,0.08339423,corvid,0.113964975,0.102071665,feed,0.09752778,0.084889024,ingredients,0.16487883,0.12546355,wristband,0.15095451,0.122693226,cocktail,0.09934279,0.08518263,cooked,0.14023735,0.108082846,jar lid,0.19589703,0.13889779,social,0.14236462,0.1020594,crane,0.13874534,0.11435369,two-wheeler,0.18913901,0.1413342,salsa,0.1589467,0.10919055,desk,0.1374213,0.10088792,gymnasium,0.14404014,0.10075703
42,basking spot,0.08199225,0.06795985,birdwatchers,0.09280509,0.083140224,guitar strap,0.09770265,0.08270024,wader,0.11246626,0.10072935,canid,0.0974271,0.08480139,cookies,0.16433895,0.12505272,mailbox key,0.1506771,0.12246774,bezel,0.099246174,0.08509977,edible heart,0.13971183,0.10767784,horse chestnut,0.19588286,0.13888775,shellfish,0.13818681,0.099064395,treat,0.13822098,0.11392151,snowmobile trailer,0.18289101,0.13666537,wok,0.15661258,0.107587114,leather seats,0.13603733,0.09987188,wastebasket,0.14391403,0.10066882
43,dragonfly larva,0.08059433,0.06680118,flipper,0.09271762,0.083061874,panel,0.09769845,0.082696676,heronry,0.10943374,0.098013304,tick repellent,0.09732595,0.08471334,hungarian dish,0.16416983,0.124924034,ticket,0.15007117,0.12197526,bell,0.0989393,0.08483665,knife,0.13933301,0.107385874,bird bath,0.19517699,0.13838726,cast,0.1358858,0.09741482,parrot,0.13573532,0.11187284,motorcycle,0.1820697,0.13605168,oar,0.15477315,0.10632348,courtroom,0.13507564,0.09916586,pool cues,0.14358228,0.10043677
44,artichoke-like head,0.07959361,0.06597171,passerine,0.09270038,0.08304641,sheet,0.095582515,0.080905646,dolphins,0.10860585,0.097271815,whiplash,0.09690388,0.084345974,sour cream,0.16123879,0.122693665,pipette,0.14988835,0.12182665,ladle,0.098711684,0.08464148,dragonfly wing,0.13882285,0.10699268,container,0.19393887,0.1375094,phone book,0.13566619,0.09725739,fruit,0.13499852,0.111265555,croquet club,0.18131812,0.13549006,musician,0.15289426,0.10503277,reels,0.13311096,0.097723484,gymnastics apparatus,0.14317316,0.100150585
45,carp,0.07848671,0.06505425,grouse,0.092419036,0.08279439,trunk,0.09541491,0.08076377,birding guidebook,0.107731275,0.09648849,spices,0.096695736,0.0841648,restaurant,0.16018304,0.12189031,hand tool,0.14988786,0.12182625,pickling solution,0.09785111,0.08390356,dragonfly larva,0.13869947,0.1068976,fishing cooler,0.1937975,0.13740915,disposable,0.1347301,0.09658632,recipe,0.13490228,0.11118624,china bowls,0.18111002,0.13533455,lobster cooker,0.15278992,0.104961075,monitor stand,0.1322172,0.09706733,plant,0.14309445,0.10009551
46,wrinkled face,0.07826037,0.06486665,cuckoo,0.09145558,0.08193126,diploma,0.09510927,0.08050506,nesting area,0.10745548,0.09624149,warm,0.09625287,0.08377933,marshmallows,0.15916006,0.121111885,glue stick,0.14877394,0.12092089,barber pole,0.09745537,0.08356422,crab gauge,0.13815299,0.106476404,fruits/vegetables,0.19324002,0.13701388,aerophone,0.13399783,0.09606135,snails,0.13461985,0.11095347,non-stick surface,0.18100634,0.13525708,propeller,0.15192614,0.104367696,bait,0.13189566,0.09683129,ticket booth,0.14285976,0.09993136
47,round eyes,0.07785452,0.06453025,yellow beak,0.08950514,0.08018395,tassel,0.09507416,0.080475345,yellow beak,0.10743734,0.09622524,runner,0.095383435,0.08302257,presentation,0.15891998,0.12092919,capacity markings,0.14804727,0.12033025,bonsai tree,0.096636534,0.08286211,culinary preparation,0.13691539,0.10552257,funnel,0.19233146,0.13636968,headphone,0.13389094,0.09598473,cakes,0.13430792,0.11069636,frying pan,0.18022805,0.13467552,honey dipper,0.15161905,0.10415673,translucent,0.13178602,0.096750796,birdfeeder,0.14283232,0.09991217
48,eyes,0.07749484,0.06423214,whale,0.0869394,0.077885404,sewn panels,0.09502975,0.08043776,garlic,0.10664271,0.095513545,flash,0.09526907,0.08292302,cappuccino,0.15728913,0.1196882,deposit slip,0.14429365,0.11727938,resonator bars,0.096551985,0.082789615,wasp,0.13672069,0.10537252,drum,0.19183761,0.13601951,foldable,0.13291441,0.09528467,confectionery,0.13416249,0.11057651,implement,0.17943467,0.13408265,vessel,0.15089993,0.10366273,transparent,0.1302574,0.09562855,yard,0.1418908,0.09925355
